1, the_end, betterendforge:empty_aurora_cave, MONSTER, dungeons_mobs:blastling, 150, 1, 3
27, the_end, betterendforge:amber_land, CREATURE, alexsmobs:enderiophage, 40, 2, 2
28, the_end, betterendforge:amber_land, CREATURE, alexsmobs:spectre, 10, 1, 1
29, the_end, betterendforge:amber_land, CREATURE, endergetic:puff_bug, 100, 2, 4
30, the_end, betterendforge:amber_land, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
31, the_end, betterendforge:amber_land, CREATURE, endergetic:booflo, 40, 1, 2
32, the_end, betterendforge:amber_land, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
33, the_end, betterendforge:amber_land, MONSTER, betterendforge:shadow_walker, 30, 1, 2
34, the_end, betterendforge:amber_land, MONSTER, betterendforge:end_slime, 30, 1, 2
35, the_end, betterendforge:amber_land, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
36, the_end, betterendforge:amber_land, MONSTER, deadlyendphantoms:specter, 20, 1, 1
37, the_end, betterendforge:blossoming_spires, MONSTER, dungeons_mobs:blastling, 150, 1, 3
38, the_end, betterendforge:blossoming_spires, MONSTER, dungeons_mobs:snareling, 150, 1, 3
39, the_end, betterendforge:blossoming_spires, MONSTER, dungeons_mobs:watchling, 150, 1, 3
40, the_end, betterendforge:blossoming_spires, MONSTER, dungeons_mobs:endersent, 1, 1, 1
41, the_end, betterendforge:blossoming_spires, MONSTER, minecraft:enderman, 250, 1, 2
42, the_end, betterendforge:blossoming_spires, MONSTER, enderlinginvaders:lureling, 50, 1, 1
43, the_end, betterendforge:blossoming_spires, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
44, the_end, betterendforge:blossoming_spires, CREATURE, alexsmobs:endergrade, 100, 2, 4
45, the_end, betterendforge:blossoming_spires, CREATURE, alexsmobs:enderiophage, 40, 2, 2
46, the_end, betterendforge:blossoming_spires, CREATURE, alexsmobs:spectre, 10, 1, 1
47, the_end, betterendforge:blossoming_spires, CREATURE, endergetic:puff_bug, 100, 2, 4
48, the_end, betterendforge:blossoming_spires, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
49, the_end, betterendforge:blossoming_spires, CREATURE, endergetic:booflo, 40, 1, 2
50, the_end, betterendforge:blossoming_spires, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
51, the_end, betterendforge:blossoming_spires, MONSTER, betterendforge:shadow_walker, 30, 1, 2
52, the_end, betterendforge:blossoming_spires, MONSTER, betterendforge:end_slime, 30, 1, 2
53, the_end, betterendforge:blossoming_spires, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
54, the_end, betterendforge:blossoming_spires, MONSTER, deadlyendphantoms:specter, 20, 1, 1
55, the_end, betterendforge:chorus_forest, MONSTER, dungeons_mobs:blastling, 150, 1, 3
56, the_end, betterendforge:chorus_forest, MONSTER, dungeons_mobs:snareling, 150, 1, 3
57, the_end, betterendforge:chorus_forest, MONSTER, dungeons_mobs:watchling, 150, 1, 3
58, the_end, betterendforge:chorus_forest, MONSTER, dungeons_mobs:endersent, 1, 1, 1
59, the_end, betterendforge:chorus_forest, MONSTER, minecraft:enderman, 250, 1, 2
60, the_end, betterendforge:chorus_forest, MONSTER, enderlinginvaders:lureling, 50, 1, 1
61, the_end, betterendforge:chorus_forest, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
62, the_end, betterendforge:chorus_forest, CREATURE, alexsmobs:endergrade, 100, 2, 4
63, the_end, betterendforge:chorus_forest, CREATURE, alexsmobs:enderiophage, 40, 2, 2
64, the_end, betterendforge:chorus_forest, CREATURE, alexsmobs:spectre, 10, 1, 1
65, the_end, betterendforge:chorus_forest, CREATURE, endergetic:puff_bug, 100, 2, 4
66, the_end, betterendforge:chorus_forest, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
67, the_end, betterendforge:chorus_forest, CREATURE, endergetic:booflo, 40, 1, 2
68, the_end, betterendforge:chorus_forest, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
69, the_end, betterendforge:chorus_forest, MONSTER, betterendforge:shadow_walker, 30, 1, 2
70, the_end, betterendforge:chorus_forest, MONSTER, betterendforge:end_slime, 30, 1, 2
71, the_end, betterendforge:chorus_forest, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
72, the_end, betterendforge:chorus_forest, MONSTER, deadlyendphantoms:specter, 20, 1, 1
73, the_end, betterendforge:crystal_mountains, MONSTER, dungeons_mobs:blastling, 150, 1, 3
74, the_end, betterendforge:crystal_mountains, MONSTER, dungeons_mobs:snareling, 150, 1, 3
75, the_end, betterendforge:crystal_mountains, MONSTER, dungeons_mobs:watchling, 150, 1, 3
76, the_end, betterendforge:crystal_mountains, MONSTER, dungeons_mobs:endersent, 1, 1, 1
77, the_end, betterendforge:crystal_mountains, MONSTER, minecraft:enderman, 250, 1, 2
78, the_end, betterendforge:crystal_mountains, MONSTER, enderlinginvaders:lureling, 50, 1, 1
79, the_end, betterendforge:crystal_mountains, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
80, the_end, betterendforge:crystal_mountains, CREATURE, alexsmobs:endergrade, 100, 2, 4
81, the_end, betterendforge:crystal_mountains, CREATURE, alexsmobs:enderiophage, 40, 2, 2
82, the_end, betterendforge:crystal_mountains, CREATURE, alexsmobs:spectre, 10, 1, 1
83, the_end, betterendforge:crystal_mountains, CREATURE, endergetic:puff_bug, 100, 2, 4
84, the_end, betterendforge:crystal_mountains, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
85, the_end, betterendforge:crystal_mountains, CREATURE, endergetic:booflo, 40, 1, 2
86, the_end, betterendforge:crystal_mountains, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
87, the_end, betterendforge:crystal_mountains, MONSTER, betterendforge:shadow_walker, 30, 1, 2
88, the_end, betterendforge:crystal_mountains, MONSTER, betterendforge:end_slime, 30, 1, 2
89, the_end, betterendforge:crystal_mountains, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
90, the_end, betterendforge:crystal_mountains, MONSTER, deadlyendphantoms:specter, 20, 1, 1
91, the_end, betterendforge:dragon_graveyards, MONSTER, dungeons_mobs:blastling, 150, 1, 3
92, the_end, betterendforge:dragon_graveyards, MONSTER, dungeons_mobs:snareling, 150, 1, 3
93, the_end, betterendforge:dragon_graveyards, MONSTER, dungeons_mobs:watchling, 150, 1, 3
94, the_end, betterendforge:dragon_graveyards, MONSTER, dungeons_mobs:endersent, 1, 1, 1
95, the_end, betterendforge:dragon_graveyards, MONSTER, minecraft:enderman, 250, 1, 2
96, the_end, betterendforge:dragon_graveyards, MONSTER, enderlinginvaders:lureling, 50, 1, 1
97, the_end, betterendforge:dragon_graveyards, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
98, the_end, betterendforge:dragon_graveyards, CREATURE, alexsmobs:endergrade, 100, 2, 4
99, the_end, betterendforge:dragon_graveyards, CREATURE, alexsmobs:enderiophage, 40, 2, 2
100, the_end, betterendforge:dragon_graveyards, CREATURE, alexsmobs:spectre, 10, 1, 1
101, the_end, betterendforge:dragon_graveyards, CREATURE, endergetic:puff_bug, 100, 2, 4
102, the_end, betterendforge:dragon_graveyards, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
103, the_end, betterendforge:dragon_graveyards, CREATURE, endergetic:booflo, 40, 1, 2
104, the_end, betterendforge:dragon_graveyards, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
105, the_end, betterendforge:dragon_graveyards, MONSTER, betterendforge:shadow_walker, 30, 1, 2
106, the_end, betterendforge:dragon_graveyards, MONSTER, betterendforge:end_slime, 30, 1, 2
107, the_end, betterendforge:dragon_graveyards, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
108, the_end, betterendforge:dragon_graveyards, MONSTER, deadlyendphantoms:specter, 20, 1, 1
109, the_end, betterendforge:dry_shrublands, MONSTER, dungeons_mobs:blastling, 150, 1, 3
110, the_end, betterendforge:dry_shrublands, MONSTER, dungeons_mobs:snareling, 150, 1, 3
111, the_end, betterendforge:dry_shrublands, MONSTER, dungeons_mobs:watchling, 150, 1, 3
112, the_end, betterendforge:dry_shrublands, MONSTER, dungeons_mobs:endersent, 1, 1, 1
113, the_end, betterendforge:dry_shrublands, MONSTER, minecraft:enderman, 250, 1, 2
114, the_end, betterendforge:dry_shrublands, MONSTER, enderlinginvaders:lureling, 50, 1, 1
115, the_end, betterendforge:dry_shrublands, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
116, the_end, betterendforge:dry_shrublands, CREATURE, alexsmobs:endergrade, 100, 2, 4
117, the_end, betterendforge:dry_shrublands, CREATURE, alexsmobs:enderiophage, 40, 2, 2
118, the_end, betterendforge:dry_shrublands, CREATURE, alexsmobs:spectre, 10, 1, 1
119, the_end, betterendforge:dry_shrublands, CREATURE, endergetic:puff_bug, 100, 2, 4
120, the_end, betterendforge:dry_shrublands, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
121, the_end, betterendforge:dry_shrublands, CREATURE, endergetic:booflo, 40, 1, 2
122, the_end, betterendforge:dry_shrublands, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
123, the_end, betterendforge:dry_shrublands, MONSTER, betterendforge:shadow_walker, 30, 1, 2
124, the_end, betterendforge:dry_shrublands, MONSTER, betterendforge:end_slime, 30, 1, 2
125, the_end, betterendforge:dry_shrublands, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
126, the_end, betterendforge:dry_shrublands, MONSTER, deadlyendphantoms:specter, 20, 1, 1
127, the_end, betterendforge:dust_wastelands, MONSTER, dungeons_mobs:blastling, 150, 1, 3
128, the_end, betterendforge:dust_wastelands, MONSTER, dungeons_mobs:snareling, 150, 1, 3
129, the_end, betterendforge:dust_wastelands, MONSTER, dungeons_mobs:watchling, 150, 1, 3
130, the_end, betterendforge:dust_wastelands, MONSTER, dungeons_mobs:endersent, 1, 1, 1
131, the_end, betterendforge:dust_wastelands, MONSTER, minecraft:enderman, 250, 1, 2
132, the_end, betterendforge:dust_wastelands, MONSTER, enderlinginvaders:lureling, 50, 1, 1
133, the_end, betterendforge:dust_wastelands, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
134, the_end, betterendforge:dust_wastelands, CREATURE, alexsmobs:endergrade, 100, 2, 4
135, the_end, betterendforge:dust_wastelands, CREATURE, alexsmobs:enderiophage, 40, 2, 2
136, the_end, betterendforge:dust_wastelands, CREATURE, alexsmobs:spectre, 10, 1, 1
137, the_end, betterendforge:dust_wastelands, CREATURE, endergetic:puff_bug, 100, 2, 4
138, the_end, betterendforge:dust_wastelands, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
139, the_end, betterendforge:dust_wastelands, CREATURE, endergetic:booflo, 40, 1, 2
140, the_end, betterendforge:dust_wastelands, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
141, the_end, betterendforge:dust_wastelands, MONSTER, betterendforge:shadow_walker, 30, 1, 2
142, the_end, betterendforge:dust_wastelands, MONSTER, betterendforge:end_slime, 30, 1, 2
143, the_end, betterendforge:dust_wastelands, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
144, the_end, betterendforge:dust_wastelands, MONSTER, deadlyendphantoms:specter, 20, 1, 1
145, the_end, betterendforge:foggy_mushroomland, MONSTER, dungeons_mobs:blastling, 150, 1, 3
146, the_end, betterendforge:foggy_mushroomland, MONSTER, dungeons_mobs:snareling, 150, 1, 3
147, the_end, betterendforge:foggy_mushroomland, MONSTER, dungeons_mobs:watchling, 150, 1, 3
148, the_end, betterendforge:foggy_mushroomland, MONSTER, dungeons_mobs:endersent, 1, 1, 1
149, the_end, betterendforge:foggy_mushroomland, MONSTER, minecraft:enderman, 250, 1, 2
150, the_end, betterendforge:foggy_mushroomland, MONSTER, enderlinginvaders:lureling, 50, 1, 1
151, the_end, betterendforge:foggy_mushroomland, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
152, the_end, betterendforge:foggy_mushroomland, CREATURE, alexsmobs:endergrade, 100, 2, 4
153, the_end, betterendforge:foggy_mushroomland, CREATURE, alexsmobs:enderiophage, 40, 2, 2
154, the_end, betterendforge:foggy_mushroomland, CREATURE, alexsmobs:spectre, 10, 1, 1
155, the_end, betterendforge:foggy_mushroomland, CREATURE, endergetic:puff_bug, 100, 2, 4
156, the_end, betterendforge:foggy_mushroomland, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
157, the_end, betterendforge:foggy_mushroomland, CREATURE, endergetic:booflo, 40, 1, 2
158, the_end, betterendforge:foggy_mushroomland, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
159, the_end, betterendforge:foggy_mushroomland, MONSTER, betterendforge:shadow_walker, 30, 1, 2
160, the_end, betterendforge:foggy_mushroomland, MONSTER, betterendforge:end_slime, 30, 1, 2
161, the_end, betterendforge:foggy_mushroomland, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
162, the_end, betterendforge:foggy_mushroomland, MONSTER, deadlyendphantoms:specter, 20, 1, 1
163, the_end, betterendforge:glowing_grasslands, MONSTER, dungeons_mobs:blastling, 150, 1, 3
164, the_end, betterendforge:glowing_grasslands, MONSTER, dungeons_mobs:snareling, 150, 1, 3
165, the_end, betterendforge:glowing_grasslands, MONSTER, dungeons_mobs:watchling, 150, 1, 3
166, the_end, betterendforge:glowing_grasslands, MONSTER, dungeons_mobs:endersent, 1, 1, 1
167, the_end, betterendforge:glowing_grasslands, MONSTER, minecraft:enderman, 250, 1, 2
168, the_end, betterendforge:glowing_grasslands, MONSTER, enderlinginvaders:lureling, 50, 1, 1
169, the_end, betterendforge:glowing_grasslands, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
170, the_end, betterendforge:glowing_grasslands, CREATURE, alexsmobs:endergrade, 100, 2, 4
171, the_end, betterendforge:glowing_grasslands, CREATURE, alexsmobs:enderiophage, 40, 2, 2
172, the_end, betterendforge:glowing_grasslands, CREATURE, alexsmobs:spectre, 10, 1, 1
173, the_end, betterendforge:glowing_grasslands, CREATURE, endergetic:puff_bug, 100, 2, 4
174, the_end, betterendforge:glowing_grasslands, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
175, the_end, betterendforge:glowing_grasslands, CREATURE, endergetic:booflo, 40, 1, 2
176, the_end, betterendforge:glowing_grasslands, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
177, the_end, betterendforge:glowing_grasslands, MONSTER, betterendforge:shadow_walker, 30, 1, 2
178, the_end, betterendforge:glowing_grasslands, MONSTER, betterendforge:end_slime, 30, 1, 2
179, the_end, betterendforge:glowing_grasslands, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
180, the_end, betterendforge:glowing_grasslands, MONSTER, deadlyendphantoms:specter, 20, 1, 1
181, the_end, betterendforge:ice_starfield, MONSTER, dungeons_mobs:blastling, 150, 1, 3
182, the_end, betterendforge:ice_starfield, MONSTER, dungeons_mobs:snareling, 150, 1, 3
183, the_end, betterendforge:ice_starfield, MONSTER, dungeons_mobs:watchling, 150, 1, 3
184, the_end, betterendforge:ice_starfield, MONSTER, dungeons_mobs:endersent, 1, 1, 1
185, the_end, betterendforge:ice_starfield, MONSTER, minecraft:enderman, 250, 1, 2
186, the_end, betterendforge:ice_starfield, MONSTER, enderlinginvaders:lureling, 50, 1, 1
187, the_end, betterendforge:ice_starfield, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
188, the_end, betterendforge:ice_starfield, CREATURE, alexsmobs:endergrade, 100, 2, 4
189, the_end, betterendforge:ice_starfield, CREATURE, alexsmobs:enderiophage, 40, 2, 2
190, the_end, betterendforge:ice_starfield, CREATURE, alexsmobs:spectre, 10, 1, 1
191, the_end, betterendforge:ice_starfield, CREATURE, endergetic:puff_bug, 100, 2, 4
192, the_end, betterendforge:ice_starfield, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
193, the_end, betterendforge:ice_starfield, CREATURE, endergetic:booflo, 40, 1, 2
194, the_end, betterendforge:ice_starfield, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
195, the_end, betterendforge:ice_starfield, MONSTER, betterendforge:shadow_walker, 30, 1, 2
196, the_end, betterendforge:ice_starfield, MONSTER, betterendforge:end_slime, 30, 1, 2
197, the_end, betterendforge:ice_starfield, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
198, the_end, betterendforge:ice_starfield, MONSTER, deadlyendphantoms:specter, 20, 1, 1
199, the_end, betterendforge:lantern_woods, MONSTER, dungeons_mobs:blastling, 150, 1, 3
200, the_end, betterendforge:lantern_woods, MONSTER, dungeons_mobs:snareling, 150, 1, 3
201, the_end, betterendforge:lantern_woods, MONSTER, dungeons_mobs:watchling, 150, 1, 3
202, the_end, betterendforge:lantern_woods, MONSTER, dungeons_mobs:endersent, 1, 1, 1
203, the_end, betterendforge:lantern_woods, MONSTER, minecraft:enderman, 250, 1, 2
204, the_end, betterendforge:lantern_woods, MONSTER, enderlinginvaders:lureling, 50, 1, 1
205, the_end, betterendforge:lantern_woods, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
206, the_end, betterendforge:lantern_woods, CREATURE, alexsmobs:endergrade, 100, 2, 4
207, the_end, betterendforge:lantern_woods, CREATURE, alexsmobs:enderiophage, 40, 2, 2
208, the_end, betterendforge:lantern_woods, CREATURE, alexsmobs:spectre, 10, 1, 1
209, the_end, betterendforge:lantern_woods, CREATURE, endergetic:puff_bug, 100, 2, 4
210, the_end, betterendforge:lantern_woods, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
211, the_end, betterendforge:lantern_woods, CREATURE, endergetic:booflo, 40, 1, 2
212, the_end, betterendforge:lantern_woods, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
213, the_end, betterendforge:lantern_woods, MONSTER, betterendforge:shadow_walker, 30, 1, 2
214, the_end, betterendforge:lantern_woods, MONSTER, betterendforge:end_slime, 30, 1, 2
215, the_end, betterendforge:lantern_woods, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
216, the_end, betterendforge:lantern_woods, MONSTER, deadlyendphantoms:specter, 20, 1, 1
217, the_end, betterendforge:megalake_grove, MONSTER, dungeons_mobs:blastling, 150, 1, 3
218, the_end, betterendforge:megalake_grove, MONSTER, dungeons_mobs:snareling, 150, 1, 3
219, the_end, betterendforge:megalake_grove, MONSTER, dungeons_mobs:watchling, 150, 1, 3
220, the_end, betterendforge:megalake_grove, MONSTER, dungeons_mobs:endersent, 1, 1, 1
221, the_end, betterendforge:megalake_grove, MONSTER, minecraft:enderman, 250, 1, 2
222, the_end, betterendforge:megalake_grove, MONSTER, enderlinginvaders:lureling, 50, 1, 1
223, the_end, betterendforge:megalake_grove, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
224, the_end, betterendforge:megalake_grove, CREATURE, alexsmobs:endergrade, 100, 2, 4
225, the_end, betterendforge:megalake_grove, CREATURE, alexsmobs:enderiophage, 40, 2, 2
226, the_end, betterendforge:megalake_grove, CREATURE, alexsmobs:spectre, 10, 1, 1
227, the_end, betterendforge:megalake_grove, CREATURE, endergetic:puff_bug, 100, 2, 4
228, the_end, betterendforge:megalake_grove, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
229, the_end, betterendforge:megalake_grove, CREATURE, endergetic:booflo, 40, 1, 2
230, the_end, betterendforge:megalake_grove, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
231, the_end, betterendforge:megalake_grove, MONSTER, betterendforge:shadow_walker, 30, 1, 2
232, the_end, betterendforge:megalake_grove, MONSTER, betterendforge:end_slime, 30, 1, 2
233, the_end, betterendforge:megalake_grove, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
234, the_end, betterendforge:megalake_grove, MONSTER, deadlyendphantoms:specter, 20, 1, 1
235, the_end, betterendforge:neon_oasis, MONSTER, dungeons_mobs:blastling, 150, 1, 3
236, the_end, betterendforge:neon_oasis, MONSTER, dungeons_mobs:snareling, 150, 1, 3
237, the_end, betterendforge:neon_oasis, MONSTER, dungeons_mobs:watchling, 150, 1, 3
238, the_end, betterendforge:neon_oasis, MONSTER, dungeons_mobs:endersent, 1, 1, 1
239, the_end, betterendforge:neon_oasis, MONSTER, minecraft:enderman, 250, 1, 2
240, the_end, betterendforge:neon_oasis, MONSTER, enderlinginvaders:lureling, 50, 1, 1
241, the_end, betterendforge:neon_oasis, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
242, the_end, betterendforge:neon_oasis, CREATURE, alexsmobs:endergrade, 100, 2, 4
243, the_end, betterendforge:neon_oasis, CREATURE, alexsmobs:enderiophage, 40, 2, 2
244, the_end, betterendforge:neon_oasis, CREATURE, alexsmobs:spectre, 10, 1, 1
245, the_end, betterendforge:neon_oasis, CREATURE, endergetic:puff_bug, 100, 2, 4
246, the_end, betterendforge:neon_oasis, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
247, the_end, betterendforge:neon_oasis, CREATURE, endergetic:booflo, 40, 1, 2
248, the_end, betterendforge:neon_oasis, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
249, the_end, betterendforge:neon_oasis, MONSTER, betterendforge:shadow_walker, 30, 1, 2
250, the_end, betterendforge:neon_oasis, MONSTER, betterendforge:end_slime, 30, 1, 2
251, the_end, betterendforge:neon_oasis, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
252, the_end, betterendforge:neon_oasis, MONSTER, deadlyendphantoms:specter, 20, 1, 1
253, the_end, betterendforge:painted_mountains, MONSTER, dungeons_mobs:blastling, 150, 1, 3
254, the_end, betterendforge:painted_mountains, MONSTER, dungeons_mobs:snareling, 150, 1, 3
255, the_end, betterendforge:painted_mountains, MONSTER, dungeons_mobs:watchling, 150, 1, 3
256, the_end, betterendforge:painted_mountains, MONSTER, dungeons_mobs:endersent, 1, 1, 1
257, the_end, betterendforge:painted_mountains, MONSTER, minecraft:enderman, 250, 1, 2
258, the_end, betterendforge:painted_mountains, MONSTER, enderlinginvaders:lureling, 50, 1, 1
259, the_end, betterendforge:painted_mountains, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
260, the_end, betterendforge:painted_mountains, CREATURE, alexsmobs:endergrade, 100, 2, 4
261, the_end, betterendforge:painted_mountains, CREATURE, alexsmobs:enderiophage, 40, 2, 2
262, the_end, betterendforge:painted_mountains, CREATURE, alexsmobs:spectre, 10, 1, 1
263, the_end, betterendforge:painted_mountains, CREATURE, endergetic:puff_bug, 100, 2, 4
264, the_end, betterendforge:painted_mountains, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
265, the_end, betterendforge:painted_mountains, CREATURE, endergetic:booflo, 40, 1, 2
266, the_end, betterendforge:painted_mountains, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
267, the_end, betterendforge:painted_mountains, MONSTER, betterendforge:shadow_walker, 30, 1, 2
268, the_end, betterendforge:painted_mountains, MONSTER, betterendforge:end_slime, 30, 1, 2
269, the_end, betterendforge:painted_mountains, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
270, the_end, betterendforge:painted_mountains, MONSTER, deadlyendphantoms:specter, 20, 1, 1
271, the_end, betterendforge:shadow_forest, MONSTER, dungeons_mobs:blastling, 150, 1, 3
272, the_end, betterendforge:shadow_forest, MONSTER, dungeons_mobs:snareling, 150, 1, 3
273, the_end, betterendforge:shadow_forest, MONSTER, dungeons_mobs:watchling, 150, 1, 3
274, the_end, betterendforge:shadow_forest, MONSTER, dungeons_mobs:endersent, 1, 1, 1
275, the_end, betterendforge:shadow_forest, MONSTER, minecraft:enderman, 250, 1, 2
276, the_end, betterendforge:shadow_forest, MONSTER, enderlinginvaders:lureling, 50, 1, 1
277, the_end, betterendforge:shadow_forest, MONSTER, enderlinginvaders:thumpling, 100, 1, 2
278, the_end, betterendforge:shadow_forest, CREATURE, alexsmobs:endergrade, 100, 2, 4
279, the_end, betterendforge:shadow_forest, CREATURE, alexsmobs:enderiophage, 40, 2, 2
280, the_end, betterendforge:shadow_forest, CREATURE, alexsmobs:spectre, 10, 1, 1
281, the_end, betterendforge:shadow_forest, CREATURE, endergetic:puff_bug, 100, 2, 4
282, the_end, betterendforge:shadow_forest, CREATURE, endergetic:booflo_adolescent, 10, 1, 1
283, the_end, betterendforge:shadow_forest, CREATURE, endergetic:booflo, 40, 1, 2
284, the_end, betterendforge:shadow_forest, CREATURE, legendarycreatures:ender_wisp, 10, 1, 1
285, the_end, betterendforge:shadow_forest, MONSTER, betterendforge:shadow_walker, 30, 1, 2
286, the_end, betterendforge:shadow_forest, MONSTER, betterendforge:end_slime, 30, 1, 2
287, the_end, betterendforge:shadow_forest, MONSTER, mutantbeasts:mutant_enderman, 1, 1, 1
288, the_end, betterendforge:shadow_forest, MONSTER, deadlyendphantoms:specter, 20, 1, 1
289, the_end, betterendforge:sulphur_springs, MONSTER, dungeons_mobs:blastling, 150, 1, 3
290, the_end, betterendforge:sulphur_springs, MONSTER, dungeons_mobs:snareling, 150, 1, 3
291, the_end, betterendforge:sulphur_springs, MONSTER, dungeons_mobs:watchling, 150, 1, 3
292, the_end, betterendforge:sulphur_springs, MONSTER, dungeons_mobs:endersent, 1, 1, 1
293, the_end, betterendforge:sulphur_springs, MONSTER, minecraft:enderman, 250, 1, 2
294, the_end, betterendforge:sulphur_springs, MONSTER, enderlinginvaders:lureling, 50, 1, 1
